EventId,EventTemplate,Occurrences
37e3d9fa,GET *,1887527
9489aaef,HEAD * HTTP/1.0,3950
5f4370ac,POST * HTTP/1.0,111
4c156844,GET * * * * * Space Center HTTP/1.0,2
24ff9fc3,GET /images/NASA-logosmall.gif align left HTTP/1.0,57
736c7c4d,GET /elv/uplink.htm>This Atlas/Centaur launch will be covered LIVE via *,9
20c1a52e,GET /hihttp //www.mca.com 80/universal_pictures/apollo13/index.html HTTP/1.0,1
40e97acf,GET /facilities/mila.html>Merritt Island Spaceflight Tracking and Data Network Station (MILA)</a>,2
a13e21e2,GET /shuttle/missions/sts-70/sts-70 press kit$txt HTTP/1.0,1
41decce5,GET /HTTP/1.0 200 OKDate Sunday$ 09-Jul-95 03 42 07 GMTServer NCSA/1.3MIME-version 1.0Content-type text/htmlMIME-Version 1.0Server NCSA-Lycos<html HTTP/1.0,2
00f90ebd,GET /shuttle/technology/sts-newsref/stsref-toc.html Space Shuttle News Reference Manual HTTP/1.0,1
f3040fcb,,1
c1678121,GET /http /http /thunder.atms.purdue.edu/ HTTP/1.0,1
54d14191,GET /shuttle/missions/sts-34/mission-sts-34.html (http //nyx10.cs.du.edu 8001/~cferoldi/italynet.html HTTP/1.0,1
4fa89fcf,GET /history/apollo/apollo- * * HTTP/1.0,6
ff55f739,GET /htbin/wais.pl?Space Acceleration Measurement System HTTP/1.0,5
c7a58ebb,GET http //www.ksc.nasa.gov 80/shuttle/countdown/ HTTP/1.0,1
aff31f28,GET /shuttle/missions/sts-69/mission-sts-69.htmlhttp //hamburg.bda.de 800/bda/index_germany.html HTTP/1.0,1
4aee7e2b,HEAD /elv/uplink.htm>This Atlas/Centaur launch will be covered LIVE via satellite.</a><p>Next NASA Atlas launch will be an Atlas IIAS carrying the Solar and Heliospheric Observatory (SOHO). Launch is scheduled for no earlier than October 31$ 1995 and to date$ the exact launch time has not been set. <p></a><h2><b><a href HTTP/1.0,2
e239aae3,GET /htbin/wais.pl?Spaceborne Imaging Radar-C HTTP/1.0,3
09717b35,GET /ksc.html Mon Oct 3 12 31 53 1994 HTTP/1.0,1
e48a549e,GET * * titan04.ksc.nasa.gov%3A8501&caseflag on&wordflag on&errorflag 0&opaqueflag on&descflag on&verbose on&maxresultflag 50 HTTP/1.0,14
31490d4d,GET /Harvest/cgi-bin/HarvestGather.cgi?host titan04.ksc.nasa.gov&port 8500&timestamp 0&flag HTTP/1.0,3
d72edaa7,GET /htbin/wais.pl?Millimeter Wave Atmospheric Sounder HTTP/1.0,1
d192d65f,1/history/apollo/images/,2
21ce625d,k<NASCII>tx<NASCII>tG<NASCII>t<NASCII>,2
ee8b299b,"GET /images/"">index of /images HTTP/1.0",1
885a37e5,GET /elv/uplink2.htm>Uplink information</a> is already available for this Delta launch.,5
afd42330,GET /software winvn winvn.html HTTP/1.0,1
