userID,number_of_active_days,avg_daily_req,avg_daily_bytes_in_reply
1,0,0.013416816,0.004733555
2,0.074074074,0.012522361,0.013252589
3,0,0,0.018637533
4,0.111111111,0.005366726,0.088079918
5,0.037037037,0.004919499,0.018108976
6,0.037037037,0.005813953,0.033724004
7,0,0.018783542,0.005632526
8,0,0.024150268,0.01045348
9,0.037037037,0.010733453,0.012197028
10,0,0.007155635,0.012014283
11,0.074074074,0.005664878,0.026091088
12,0,0.002683363,0.00294725
13,0,0.001788909,0.000784923
14,0,0.002683363,0.013467029
15,0,0.008944544,0.029935818
16,0,0.005366726,0.012723927
17,0,0.002683363,0.002924959
18,0,0.004472272,0.002227861
19,0.037037037,0.001341682,0.052487999
20,0,0.019677996,0.01988018
21,0,0.032200358,0.008807495
22,0,0.007155635,0.004888654
23,0.111111111,0.019007156,0.00223828
24,0,0.003577818,0.008265853
25,0,0.002683363,0.013467029
26,0,0.000894454,0.026808339
27,0.074074074,0.006261181,0.017790824
28,0,0.007155635,0.0078948
29,0,0.010733453,0.007978147
30,0,0.025939177,0.008792354
31,0,0.018783542,0.006257754
32,0,0.003577818,0.004919246
33,0,0.005366726,0.017987288
35,0,0.000894454,0.056370447
36,0,0.002683363,0.013467029
37,0.148148148,0.029159213,0.006885778
38,0,0.002683363,0.008652504
39,0,0.004472272,0.008720935
40,0,0.003577818,0.003030438
41,0,0.005366726,0.012917027
42,0,0.004472272,0.002244356
43,0,0.004472272,0.002226821
44,0.074074074,0.014013119,0.015867733
45,0,0.002683363,0.014344829
46,0,0.002683363,0.004149377
47,0,0.000894454,0.009864438
48,0,0.021466905,0.008190208
49,0,0.040250447,0.017984352
50,0.037037037,0,0.003722959
51,0,0.010733453,0.014407688
52,0.037037037,0.002236136,0.007906849
53,0.074074074,0.016100179,0.025852847
54,0.074074074,0.022659511,0.01158988
55,0.074074074,0.02653548,0.013700522
56,0,0.008944544,0.005359609
57,0,0.02236136,0.008937428
58,0,0.008944544,0.0230992
59,0,0.004472272,0.00223113
60,0,0.004472272,0.039729994
61,0,0.002683363,0.002739503
62,0.185185185,0.015205725,0.008665606
63,0,0.007155635,0.005625231
64,0,0.001788909,0.013402238
65,0.074074074,0.022957662,0.027081534
66,0,0.001788909,0.046003729
67,0,0.018783542,0.006198502
68,0,0.000894454,0.36663861
69,0,0.021466905,0.01670739
70,0,0.009838998,0.004513603
71,0,0.005366726,0.02141805
72,0,0.001788909,0.00744265
73,0,0.000894454,0.035316623
74,0,0.003577818,0.074386967
